player,total_runs,balls_faced,strike_rate,cluster,category
A Ashish Reddy,280,196,142.85714285714286,2,Aggressive Player
A Badoni,634,505,125.54455445544556,2,Aggressive Player
A Chopra,53,75,70.66666666666667,0,Low Performer
A Flintoff,62,57,108.7719298245614,0,Low Performer
A Manohar,231,181,127.6243093922652,2,Aggressive Player
A Mishra,381,440,86.5909090909091,0,Low Performer
A Nehra,41,63,65.07936507936508,0,Low Performer
A Nortje,49,51,96.07843137254902,0,Low Performer
A Raghuvanshi,163,109,149.54128440366972,2,Aggressive Player
A Symonds,974,781,124.71190781049935,2,Aggressive Player
AA Bilakhia,69,88,78.4090909090909,0,Low Performer
AA Jhunjhunwala,217,218,99.54128440366972,0,Low Performer
AB Agarkar,179,160,111.875,0,Low Performer
AB McDonald,123,103,119.41747572815532,2,Aggressive Player
AB de Villiers,5181,3487,148.58044164037855,1,Elite Player
AC Blizzard,120,91,131.86813186813183,2,Aggressive Player
AC Gilchrist,2069,1555,133.05466237942122,2,Aggressive Player
AC Voges,181,143,126.5734265734266,2,Aggressive Player
AD Hales,148,119,124.36974789915966,2,Aggressive Player
AD Mascarenhas,79,79,100.0,0,Low Performer
AD Mathews,724,599,120.86811352253756,2,Aggressive Player
AD Nath,90,99,90.9090909090909,0,Low Performer
AD Russell,2488,1515,164.22442244224422,1,Elite Player
AG Paunikar,49,61,80.32786885245902,0,Low Performer
AJ Finch,2092,1696,123.34905660377358,2,Aggressive Player
AJ Tye,91,79,115.18987341772151,0,Low Performer
AK Markram,995,787,126.4294790343075,2,Aggressive Player
AL Menaria,401,367,109.26430517711172,0,Low Performer
AM Nayar,672,588,114.28571428571428,0,Low Performer
AM Rahane,4642,3858,120.32141005702437,1,Elite Player
AP Majumdar,87,77,112.987012987013,0,Low Performer
AP Tare,339,285,118.94736842105264,2,Aggressive Player
AR Patel,1653,1318,125.41729893778452,2,Aggressive Player
AS Raut,194,172,112.7906976744186,0,Low Performer
AT Rayudu,4348,3490,124.58452722063038,1,Elite Player
Abdul Samad,579,408,141.91176470588235,2,Aggressive Player
Abhishek Sharma,1377,925,148.86486486486484,2,Aggressive Player
Abishek Porel,360,244,147.54098360655738,2,Aggressive Player
Aman Hakim Khan,115,109,105.50458715596328,0,Low Performer
Anirudh Singh,63,69,91.30434782608695,0,Low Performer
Ankit Sharma,87,69,126.08695652173914,2,Aggressive Player
