team,wins,cluster,category
Mumbai Indians,144,2,Strong Team
Chennai Super Kings,138,2,Strong Team
Kolkata Knight Riders,131,2,Strong Team
Royal Challengers Bangalore,116,2,Strong Team
Rajasthan Royals,112,2,Strong Team
Kings XI Punjab,88,0,Average Team
Sunrisers Hyderabad,88,0,Average Team
Delhi Daredevils,67,0,Average Team
Delhi Capitals,48,0,Average Team
Deccan Chargers,29,1,Weak Team
Gujarat Titans,28,1,Weak Team
Punjab Kings,24,1,Weak Team
Lucknow Super Giants,24,1,Weak Team
Gujarat Lions,13,1,Weak Team
Pune Warriors,12,1,Weak Team
Rising Pune Supergiant,10,1,Weak Team
Royal Challengers Bengaluru,7,1,Weak Team
Kochi Tuskers Kerala,6,1,Weak Team
Rising Pune Supergiants,5,1,Weak Team
