player,total_runs,balls_faced,fours,sixes,innings_played,strike_rate,dot_ball_pct,dismissals,batting_average,runs_conceded,balls_bowled,bowling_innings,wickets_taken,economy_rate,bowling_strike_rate,all_rounder_score,cluster,cluster_label
A Ashish Reddy,280,196,16,15,23,142.85714285714286,31.12244897959184,15,18.666666666666668,400.0,270.0,20.0,19.0,8.88888888888889,14.210526315789474,19.62,1,Key Bowler
A Badoni,634,505,46,24,35,125.54455445544556,36.23762376237624,26,24.384615384615383,0.0,0.0,0.0,0.0,0.0,0.0,18.49,1,Key Bowler
A Chopra,53,75,7,0,6,70.66666666666667,60.0,6,8.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,3.15,1,Key Bowler
A Flintoff,62,57,5,2,3,108.7719298245614,42.10526315789473,2,31.0,106.0,66.0,3.0,2.0,9.636363636363637,33.0,20.8,1,Key Bowler
A Manohar,231,181,21,10,15,127.6243093922652,38.12154696132597,14,16.5,0.0,0.0,0.0,0.0,0.0,0.0,12.48,1,Key Bowler
A Mishra,381,440,31,5,55,86.5909090909091,45.22727272727273,32,11.90625,4193.0,3444.0,162.0,183.0,7.304878048780488,18.81967213114754,48.06,1,Key Bowler
A Nehra,41,63,3,1,17,65.07936507936508,58.730158730158735,7,5.857142857142857,2537.0,1974.0,88.0,121.0,7.711246200607903,16.31404958677686,28.15,1,Key Bowler
A Nortje,49,51,6,0,13,96.07843137254902,49.01960784313725,6,8.166666666666666,1614.0,1097.0,46.0,62.0,8.82771194165907,17.693548387096776,16.03,1,Key Bowler
A Raghuvanshi,163,109,16,8,7,149.54128440366972,34.86238532110092,7,23.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,21.14,1,Key Bowler
A Symonds,974,781,74,41,36,124.71190781049935,39.436619718309856,27,36.07407407407408,694.0,540.0,30.0,23.0,7.711111111111111,23.47826086956522,32.58,1,Key Bowler
AA Bilakhia,69,88,5,0,7,78.4090909090909,48.86363636363637,5,13.8,0.0,0.0,0.0,0.0,0.0,0.0,6.03,1,Key Bowler
AA Jhunjhunwala,217,218,19,5,15,99.54128440366972,44.95412844036697,13,16.692307692307693,130.0,88.0,10.0,1.0,8.863636363636363,88.0,9.87,1,Key Bowler
AB Agarkar,179,160,13,5,18,111.875,37.5,10,17.9,1174.0,820.0,42.0,33.0,8.590243902439026,24.848484848484848,18.32,1,Key Bowler
AB McDonald,123,103,9,4,9,119.41747572815532,36.89320388349515,5,24.6,263.0,188.0,10.0,14.0,8.393617021276595,13.428571428571429,20.53,1,Key Bowler
AB de Villiers,5181,3487,414,253,170,148.58044164037855,31.975910524806423,130,39.85384615384616,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0,Elite All-Rounder
AC Blizzard,120,91,21,2,7,131.86813186813183,52.74725274725275,7,17.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,13.45,1,Key Bowler
AC Gilchrist,2069,1555,239,92,80,133.05466237942122,47.39549839228296,76,27.223684210526315,0.0,0.0,0.0,0.0,0.0,0.0,22.02,0,Elite All-Rounder
AC Voges,181,143,15,3,7,126.5734265734266,30.76923076923077,4,45.25,0.0,0.0,0.0,0.0,0.0,0.0,35.28,1,Key Bowler
AD Hales,148,119,13,6,6,124.36974789915966,40.33613445378151,6,24.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,18.53,1,Key Bowler
AD Mascarenhas,79,79,5,1,11,100.0,36.70886075949368,9,8.777777777777779,365.0,310.0,13.0,19.0,7.064516129032258,16.31578947368421,9.29,1,Key Bowler
AD Mathews,724,599,44,29,41,120.86811352253756,34.5575959933222,31,23.35483870967742,1095.0,807.0,44.0,28.0,8.141263940520446,28.821428571428573,22.81,1,Key Bowler
AD Nath,90,99,7,2,10,90.9090909090909,45.45454545454545,10,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,1,Key Bowler
AD Russell,2488,1515,171,209,104,164.22442244224422,42.57425742574257,86,28.930232558139537,2691.0,1771.0,112.0,125.0,9.116883116883116,14.168,52.3,0,Elite All-Rounder
AG Paunikar,49,61,9,0,5,80.32786885245902,67.21311475409836,5,9.8,0.0,0.0,0.0,0.0,0.0,0.0,4.18,1,Key Bowler
AJ Finch,2092,1696,214,78,90,123.34905660377358,44.1627358490566,84,24.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,18.56,0,Elite All-Rounder
AJ Tye,91,79,6,5,13,115.18987341772151,49.36708860759494,9,10.11111111111111,1005.0,714.0,30.0,48.0,8.445378151260504,14.875,16.16,1,Key Bowler
AK Markram,995,787,73,35,42,126.4294790343075,30.62261753494282,33,30.151515151515152,173.0,123.0,14.0,2.0,8.439024390243903,61.5,23.62,1,Key Bowler
AL Menaria,401,367,24,18,23,109.26430517711172,41.41689373297003,21,19.09523809523809,144.0,113.0,12.0,3.0,7.646017699115045,37.66666666666666,13.02,1,Key Bowler
AM Nayar,672,588,55,20,50,114.28571428571428,39.795918367346935,38,17.68421052631579,323.0,239.0,19.0,9.0,8.10878661087866,26.55555555555556,13.82,1,Key Bowler
