match_id,team1,team2,toss_winner,toss_decision,venue,winner,h2h_team1_win_pct,avg_runs_per_match,venue_win_pct_team1,venue_win_pct_team2,form_team1,form_team2,toss_winner_won
335982,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders,43.75,311.74,47.54,54.55,50.0,50.0,0
335983,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,39.13,313.91,51.43,75.0,50.0,50.0,1
335984,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi Daredevils,38.89,307.02,41.07,57.14,50.0,50.0,0
335985,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,Royal Challengers Bangalore,56.25,320.64,62.69,30.0,50.0,0.0,0
335986,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Eden Gardens,Kolkata Knight Riders,77.78,307.25,60.81,50.0,100.0,50.0,0
335987,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Sawai Mansingh Stadium,Rajasthan Royals,57.14,303.49,68.09,16.67,0.0,0.0,0
335988,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,36.36,303.84,16.67,66.67,0.0,100.0,0
335989,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,45.95,318.27,70.21,50.0,100.0,0.0,0
335990,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,22.22,303.84,16.67,50.0,0.0,50.0,1
335991,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,46.15,313.91,51.43,50.0,0.0,0.0,0
335992,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Rajasthan Royals,55.56,311.74,47.54,50.0,50.0,66.67,1
335993,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,65.52,318.27,70.21,28.57,100.0,100.0,0
335994,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Deccan Chargers,60.0,282.94,71.43,33.33,0.0,0.0,1
335995,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,59.09,313.91,51.43,33.33,33.33,100.0,0
335996,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,Chennai Super Kings,33.33,311.74,47.54,57.14,33.33,100.0,1
335997,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Mumbai Indians,32.35,307.25,60.81,76.92,66.67,0.0,0
335998,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,Delhi Daredevils,30.0,307.02,41.07,71.43,66.67,25.0,0
335999,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,30.0,303.84,16.67,50.0,25.0,50.0,1
336000,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals,50.0,303.49,68.09,50.0,75.0,50.0,1
336001,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,66.67,318.27,70.21,28.57,100.0,75.0,0
336003,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,33.33,313.91,51.43,50.0,60.0,40.0,1
336034,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,45.45,311.74,47.54,33.33,20.0,0.0,0
336004,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Dr DY Patil Sports Academy,Mumbai Indians,50.0,282.94,71.43,50.0,20.0,80.0,0
336005,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium,Rajasthan Royals,44.83,303.49,68.09,50.0,80.0,80.0,0
